USE project_db_v1;

DELETE FROM management;

INSERT INTO management(management_id, management_dob, management_hiredate, management_salary, management_gender, management_mobile, management_govt_id, management_passport, management_category, management_first_name, management_last_name, management_password, management_username, management_email, management_qualification, extra_col_1, management_address) VALUES
(84, '1984-05-09', '2014-10-19', 118980, 'Female', '+08 (9616) 1492', '82660', 'U4HUIWGd', 'Accountant', 'Yente', 'Decker', 'kdwM3X8T', 'Blackmon1816', 'ybbl0@gmail.com', '\r\nBachelor''s Degree in Office Administration', '6', '48 East Hunting Hill Hwy'),
(85, '1990-08-12', '2021-02-28', 86954, 'Female', '+07 7032 26940', '815217', 's05JajFj', 'Receptionist', 'Wolfmar', 'Stinnett', '859YnA9Y6', 'Chana24', 'CedricDallas@gmail.com', 'Hospitality', NULL, '3047 Rose Hill Dr'),
(86, '1994-06-29', '2016-07-29', 77131, 'Female', '+09-9142-965852', '87174', 'Kk0cBii8', 'Accountant', 'Adelinde ', 'Moody', 'b28VAwEn', 'High7', 'MickeyMaki358@gmail.com', '\r\nBachelor''s Degree in Office Administration', '0GW5P6LP523ZSKV11432P0324LD3MAV6ST01943D6F1F40XD69K61', '807 Brentwood Way'),
(87, '1997-12-14', '2023-02-18', 107789, 'Male', '+09-1807-017590', '76478', 'HQR2Oo7a', 'Accountant', 'Widorna', 'Mcclelland', 'Y99VP5CMM', 'Stone1968', 'Riggins@gmail.com', NULL, 'W0F1CSG1W914829G045OB54IUW4LC3P30R12NE0N66KZUS1Y45KEHD267Z7CSN1N8V9K166VOJHT2E7', '144 New Farmview Pkwy'),
(88, '1996-03-03', '2020-11-18', NULL, NULL, '+09-0367-042295', '1517', '6OOR3h7Z', 'Admin', 'Varina', 'Galarza', '3frx8a7dAKP9', 'Thomasena1852', 'Eastman534@gmail.com', '\r\nBachelor''s Degree in Office Administration', 'OY3E8Q70', NULL),
(89, '1996-04-17', '2015-07-19', 111703, 'Female', '+07 2870 65878', '3261', 'IBZmxEKo', 'Admin', 'Gonzales', 'Christy', '2VtKsSKB', 'Luke1856', 'yiayr909@gmail.com', '\r\nBachelor''s Degree in Economics with a concentration in Accounting', NULL, '69 E Ski Hill Highway'),
(90, '1987-01-17', '2023-12-25', 56134, 'Female', '+07 9874 81726', '8264', 'nK30Qd2U', 'Admin', 'Annalisa', 'Dees', '9KiV11XC', 'Ramey2008', 'Melvin.Gerber@yahoo.com', '\r\nBachelor''s Degree in Healthcare Administration', 'MOC3194CF1TMAR59GWRE9LH00564I', '806 SE Chapel Hill St'),
(91, '1991-03-22', '2018-12-18', 67096, 'Other', '+08 (8413) 9647', '6394', '5k5c2IMf', 'Receptionist', 'Thomia', 'Winfrey', 'cFU78CC1', 'Rima578', 'dcwcbd42@gmail.com', '\r\nBachelor''s Degree in Office Administration', '3L76RU28409T51O4P1948F245XDFZ6CK9031', '2201 Old Highland Loop'),
(92, '1980-01-08', '2024-12-24', 81405, 'Female', '+08 (3842) 1429', '38169', '55lNNbCw', 'Admin', 'Radolf', 'Biddle', 'CH2bsHsgh2wM', 'Cristy1863', 'Villegas@gmail.com', '\r\nBachelor''s Degree in Business Administration with a concentration in Accounting', 'OC8F8733B8IH7540Q0N5FX4I0S47X441', '645 Monument Avenue'),
(93, '1998-10-27', '2023-02-15', 77915, 'Male', '+09-0547-791901', '26289', '00Bk06DR', 'Admin', 'Nussi', 'Quigley', 'K837kBc3C', 'Teddy2', 'Whittaker997@gmail.com', 'Undergraduate\r\nBachelor''s Degree in Business Administration', 'Z6', '53 East Ironwood Avenue'),
(94, '1997-04-30', '2019-02-05', 45436, 'Female', '+08 (7675) 5024', '048315', '4syH4XJn', 'Admin', 'Jolissa', 'Moon', 'GO09A8yI', 'Camacho1935', 'SharylAgee@gmail.com', '\r\nBachelor''s Degree in Public Administration', 'G5', '287 Market St'),
(95, '1990-11-28', '2023-01-07', 67064, 'Female', '+08 (9344) 8837', '237456', '3vV74oV9', 'Receptionist', 'Élayne', 'Quinlan', 'oej4OQGPi13B', 'Chas2034', 'eseoezxt_orbt@gmail.com', '\r\n', 'THBDPZ46SG0U', '84 Riverview Loop'),
(96, '1980-04-01', '2021-05-21', NULL, NULL, '+09-8753-408131', '1110', 'CmE55UBU', 'Admin', 'Warin', 'Chu', 'DYPABWBEIg9', 'Lowe682', 'LuciusI.Rosado@gmail.com', '\r\nBachelor''s Degree in Finance', 'QG093FJGC19OZQW820', NULL),
(97, '1994-02-10', '2024-11-15', 113059, 'Female', '+07 7377 05065', '483871', 'Mn3v6Cep', 'Receptionist', 'Abeline ', 'Galbraith', 'm54E9j4h1j', 'Maximo24', 'ScrogginsV@gmail.com', 'Hospitality', 'L52T42RK1067186821Q37YFP', '74 4th Rd'),
(98, '1980-10-26', '2024-05-11', 116049, 'Other', '+08 (8208) 0840', '79378', 'lu7LxeIx', 'Accountant', 'Balte ', 'Dehart', 'h97170mlood', 'Bentley41', 'Theresa_Bess87@gmail.com', '\r\nBachelor''s Degree in Public Administration', 'SJ024', '13 Pine Tree Ln'),
(99, '1984-10-30', '2022-06-29', NULL, NULL, '+09-7230-009435', '287969', 'yofVro6z', 'Admin', 'Yonina', 'Mooney', 'nYHMQ0K09Xn', 'Jon1892', 'AdolfoHussey81@gmail.com', '\r\nBachelor''s Degree in Economics with a concentration in Accounting', '7D1LZLM29Z0Q', NULL),
(100, '1989-03-07', '2024-01-19', 86178, 'Male', '+08 (1181) 8281', '34209', 'yTG1KpOg', 'Receptionist', 'Abby ', 'Quinn', 'A9y8e04Ks28C2gU', 'Maragret1861', 'Cameron@gmail.com', '\r\nBachelor''s Degree in Public Administration', '5194993JT5R', '1132 NW Prospect Hill Drive');

update management set management_image =
(x'FFD8FFE000104A46494600010101009600960000FFDB0043000503040404030504040405050506070C08070707070F0B0B090C110F1212110F111113161C1713141A1511111821181A1D1D1F1F1F13172224221E241C1E1F1EFFDB0043010505050706070E08080E1E1411141E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1E1EFFC000110800B800B803011100021101031101FFC4001C0001000105010100000000000000000000000702040506080301FFC4003D100001030302040207060406030100000001000203040511062107123141517113142232618191335272A1B1C108152342438292A2D1F04462E1F1FFC4001B01010002030101000000000000000000000004050102030607FFC4002F110100020103030205030403010000000000010203041121123141055113223261D10671B11491A1C12381F0F1FFDA000C03010002110311003F008555C3610101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010107C73DADF79C02D6D7AD7BCB315B5BB3CCCEC1E27E4B94EA290E9186CF9EB03EE95AFF00551ECCFC09F705437EE9598D4D7D8F813EE19DBCB96F5F02B33A8AEDC3118677E548A8F167E6B48D54FB37F81F756D9D87AE479AE95D4567BF0D270DA1EA318C8390BB472E5D840404040404040404040404040416F2CE4E433EAA264D478AA463C3E6CF03927AE54699DDDFB3EACB22020202020AE190B1DDF97B85BE2CB349FB39E4A45A176AC3BA18808080808080808080808082DEA24C9E46F4EEA267CBBFCB091871F9978A8E90D96AF49CF66B4C372D4B37F2D3551FA4A3A1E5CD55430F47967F8719C1F69FB9FED6B96AD7AB79E1AD2D9B0808080808082EE120C4DDF3B6158629DE90839236B4AB5BB5101010101010101010105323B9585DF45AE4B74D6659A57AA7658AAE4F740F00385572974CBB884EB2C575B81716D8686A5ED643E90123D666E6EAC691ECB46E48F882349947C99237E958F14B835AA6D5A72F1AFF005E6AEA19EB8B9AE31C0D7CCF9E5738343399DC81B8CF60400DD860244FB334CB133D35841CB77764A3D3F7E918248EC9727B08D9CDA57907E785AB1BC31F3C53412BA19E27C5234FB4C7B4823CC14654AD81010107A53BF95F8EC575C17E9B6DEEE596BBD775D29C8820202020202020202020F3A8FB3DFA0FCD72CF1F2BA62FA8B3C1495175A682E155EA946F947A79F94B8C71E7DA200EA719C0EE557A5CF64A378D75ABF89DAAAD9A2F48CB5566B1B8B28ADD6DA694B1AC85A31CF296FBF868E639D801B77271B6CE514AD23794EFC60D21A26D9A274F597556A57D9F49D95996D2418F58B84E0601E84F77138072642496E32B10E34B5A666623942173E31DA34F9349C2AD156AD3F1332D6DCAAA11515AF1D8F33B3CBE44BFE4B3B3B46299FAA5A25EB889AF2F3239F72D5F7A983BAB0563D8C1E4C690D1F459D9BC52B1DA182B85D6E7716C6DB85C6B2ADB1FB8279DCF0DF2C9D9661B6D10B45964404041F0139CAC4702FC1C8055A44EF0AF98DA761010101010101010101078D59F600F8A8FA99F9621DB0472B7511292C709355D97861A7AAF559861B96ACB931D4F6BA5272CA4873874D2E3A173860376710DEC1D95A7772BD66F3B78681A9F506A0D657F75CAF55B5373B84EEE56E77C6FB318D1B347835A1678886F5AC446D0B3B85B66B738C55CF643503DEA7079A467E203669FFD49E61E0B5ADA2DD9B2C974040404041F3071941F505EC7F66DF25638FE9840BFD52FAB660404040404040404041E157D1AA36A7C3BE0F2F0515257FA76CD70BFDE69ED36C80CD5550FE568ECD1DDC4F6006E4AE77BC63AF55888497A82D6DD1A63D1BA3A9E5B9EAAA98B371AF8622E9616387D9C58FB3041C93D7046FBED0E97F8BFF264E2B0DBB70B1B570435BD6B5AFA96DBEDE0EE4545465DF46076EB6B6BB1476E58E99623893A0E3D0F05245597B8AB2E553970A686221AC8C6C5E5C4E773B018DF07C37E98351F1A6768E098D988D1FA3B51EADABF56B0DB26AAC1F6E5F7628FF13CEC3CBAF9AE9933531C7CD2C6CF0D6760974C6A1A8B1D4D5C155534BCAD9DF064C6D79009682704E3201381BE7C16715FE257AA3C8C7D051565C2A9B4B4149515750FF7628632F7BBC80DD6D33158DE78127E88E056AFBD54C725E626D8E87397BE621D338783630763F8B1F35132EBB1D23E5E659D977FC49E8EA0D26CD330DA29DD1D03696483989C9748D7071738FDE773FE5B6C30B5D1669C9D5D5DC943CAC185EC630C68F805634E2B0816FAA5F56CC0808080808080808083CAA866307C0AE1A98DEBBBAE09F996CA1A5BA73F87ED1D1E9FD2ADBE54C3CD72B9C6241E2C87AB1833D09D89F31E0A935B9BAEFD31DA1BD63CB75D2960A7B2C33CEE6B24B9574867AEA9C7B52C8E39201ECC6E70D1D87CD46C9926FC78866219A5CC4216BD0D3711F5C5C3575FDD2C763F587454508243EA238CF2B71F75871938DC92718EAACAD9E34F8E31D3BF9636DE53A699A2A3B740DA2A0A586969A26619144C0D6B467B00ABAD3369DE59973DD9386157AEF8B3AAEB2E32CB4D66A5BCD4B6691BEFCAEF48E22366761B1049EC08F156D7D4C61C3588EF310D36E5D0FA634DD8B4CD00A2B1DB29E8A20003E8DBED3F1DDCE3BB8FC495577C96C93BDA776CCBAD06B9C44D256FD69A5EA2C95FEC177B704C065D0C833CAE1F5208EE095D70E59C57EA8625C4DA82D35963BED659ABD81B554933A29034E4120F507C0F51E6BD063B464889AF9693C1B2B640101010101010101010106C9A5744DDF53D055D5D218A2A780101F2923D23C0C8637E3D3EAA0EB7598F0C745B99977C18AD69EA8ECD3E18F9E7646E3C9CCE0D248E9BAE133C24BB9A9D91C70471C4D0D8DAD018076006C179999DDD15A020A20862A78238208D91451B4318C60C35AD0300003A0C24CCCCEF2CC32169FB67FE1FDD1895DD2D25352BA6753C2D8CCF299A5E5FEE7900171F8E00599999EEC3DD60101071DF112D955AAB8EF77B6DB3D199A6AC2D0E91D86B4318399C4F800D3FFEABED35EB870D6F7ED0D2F59B710BCD49C27BBDAACF2DCA8EE149736D3B0BEA228410F6B475233EF0014AC1EA98F2DFA263646BE9AD58DD1DAB3701010101010101010104F9C249217F0EA81B0905D1CB3366C767F3923FDA5ABCBFA9C4FF00536DFCECB2D36DF0E113716F4F3AC9AA25A88A3C51D7133444740E27DB6FC89CF910A56972F5D36F305E36975268EB936EFA56D9726B83BD6299921F32371F554B92BD37986CCB2D010105EDA7ED9FF87F7425924604041E5553329E9A5A891C1AC898E7B89E80019252391CC5C16B556DEB546A0D67554EF8A9E612BA191EDC0749249CCEE53DF001071E2AD75768AD231C334EFBA53B7C91C52C93541029E389EE989E9C81A739F82AF8899988874B767292F6CA71010101010101010106D7C3BD613E96AE7B258DD516EA823D3C23A823A3DBF11F9FE90B5BA28D4D78FAA3B7E25DB0E69C73F64B35F45A77883A7DF4B4D708A563873B1CD3FD5A77E3625A77EF83E232BCF4C66D25FE68DBF85844D72C712CB703E2BAD9EC955A5AF3039935BA62EA79402639A179272D777C3B9B23A8C8CAD35535BDA3257CB58898E2521A8A08082F6D3F6CFF00C3FBA12C92302020B2BDC30D4DA2AA9AA19CF0CD13A391B9232D70C1191F02B359989DE1988E5A65F23A4A0B5C40D4525B6DF4E3079DC238D800D80EDE3B2EB5ADAF6DA39996F33158E50B713F88B4B59412E9FD34E79A5936AAAD20B4CC3BB1A0EE1BE3E3E5D6F741E9D38E7E264EFE3EC859F3F546D5458AE114404040404040404040417B62AF7DAEF5457260C9A69D92E077008247CC6CB9E6C71931CD3DF86696E9B459D7BA76A62AAA31340F0F8A46B6463874735C320AF136ACD66627C2DADCF2C9AC3410595DEED6CB4530A9BADC29686127943E7943013E033D4ADAB4B5E76AC0F7B15FEC5514535D20BCDBE4A18D9FD4A86D4B0C6CE9EF3B381F3599C7789E998E4995FD8B5269FBEBE56596F56FB83E2DE46D3D435E5A3C480738F8A5B1DE9F546CC32CB40416577706D191F7881FBFECB30CC77728F1F6F2CBAEBC929A1787436F88530C1DB9F25CFF009E4E3FCABD4FA5E2F878379F3CFE10B516EABA3E562E02020202020202020202020209BF803AD2331334DDC25E596207D55CE3EFC7D4B7CDBD47C3C979EF56D1F4DBE357B4F7FCA6E9B27557A27BF84DC3754A9287F8D1AD2AB4E6BEB052D5433CB636442AAA2189DCA6A1FCCF6804F4706E1AEE53B1CEFD889FA5C11931DA63BF66933B4A23E2D6B23AD3549AF8193C5410C622A58652399A3AB8900900939E87B0F0561A6C3F069B796B33BB516C9208DD1364708DE417341D8919C123E67EABBECC32DA2EFD55A6354DBEFB48E7F3D24CD7B98D763D2333ED309F073723E6B4CB48C949ACF913A69BE2ABF52F1B6D4DD39475B4F6DAE8BD05741391FD5706B889795A48696800730392060F6C575F4BF0F04F5F78677E53FAAD6C8EB8CBADA9B4B591F232463ABA4063A488FF0073FBB88FBADFFE7753743A59D464DBC796B9327C3AEEE4A9A492699F2CAF73E47B8B9EE71C9713B9257AE88888DA15CA50101010101010101010101010570CB2413326864747231C1CC7B4E0B48E841F1498898DA7B1D93DF0B38B3475B0C369D4D33296AC0E58EA9DB472FE23D1A7F2F2E8BCE6B7D2ED8E7AF1731EDEDF94DC79E2DC5B8948BAAF4D58F565B1B4578A4654C40F344F69C3E324756B86E3F43F15578F2DF14EF54898DF84653FF0FD677557341A82BA3833EE3E2639DFEAD87E4A6C7A8DB6ECD7A1B6D8B82DA0D96A9ADB51413D53DE0135724C44C08E9CA4600EBD31E795C675B966DBEE4D61839FF86EB21AAE68752DC194F9FB37C2C73F1F88607FB5768F51B7B31B246E1F70EB4C6888DCEB3D239F56F6F2495950EE795C3C33801A3E0D03B673851736A2F97EA3663789FC4FB2690A67D33266D6DCDC30DA689E32DF8B8FF68FCFC01EDDF49A1C9A89DFB47BFE1A5F2569DFBB96754DFEE7A96EF25CEE93FA599DB35A061B1B7B35A3B0FF00BBE57A8C1829829D1442BDE6F3BCB14BAB51010101010101010101010101010106D9A3F885AA34C06C3435DE9E91BFF8B520BE31E5BE5BF22143D46830E7E6D1CFD9D699AD4746E92D4935DB4DD05D6BA83D55F5717A4E463F98632704138EA307E6BCBEA30C62CB34ACEFB27D27AAB12D86DB76A364AE2F73C65B8F7571D999895E0BD452C822A5A796591C76070026CC6CE67D71C65D67787CF430399648038B1F1D367D2F5C10643BE7F0E17A8D3FA5E0A6D69F9BF7FC20DB3DA7B23395EF92474923DCF7B892E738E493E3956511111C38A94040404040404040404040404040404041B6687D175F7CAF8E4ABA79E9ADCD01EF95EC2DF483B0613D73E3DBF5DAB1D489A9D4C628E3BBA66C4EB60B4D2DB200D6B29E1642C89DB101AD0063C7A2F27AED167C57B5E637899DF78FF7ECB2D26BB166AC444F3ECC9D059E9659DC0BA56803380E1FF0ABF74E9995FCD35A6C7192E7358F23A0F69EEFFBF45274FA4CDA99F921173EAF1608F9E7F2E65E2D68D99D7CA8BDD828EA2682B277C92D3C6D2F7C6E7389C803B1CFCBF4F5F8F14E3C55ACF88E54F8B5B5CB798B708D2463E391D1C8D731ED25AE6B86083DC10BA26A95A82020202020202020202020202020B9B650D5DCABA2A1A185D34F29C318DFD4F80F8A35B5A291D564D5A37435B2C51475152C8EB6E23732B865B19F0603D31E277F2CE1748A7BA9F3EB2D938AF10DB57442105D41A926A48DF0B2E713091CA4B9ED2E6F913BAAEC9A1D1DAFD5688DFF007FF4B4C7975FD1D358B4C7BED3FCADDD2999C6532190BB72E2ECE7E6A7D62B58DABD95D7EAEA9EBEFF007EEA56CD188D4DA6AD3A869F92BE9C7A5030C9D9B48CF23DC6E76390B59A44F2EF87537C5DBB20FD5DA76BB4DDCCD2558E789F97413B461B2B7F6236C8EDF10413CBB2EB0E6AE5AF5430CB0EC202020202020202020202020209AB84BA7196BB2B6E950C1EB95CC0E048F7223BB40F3D9C7E5E0BA523CA9F5D9FAADD11DA1BB2E8803DCD631CF7101AD1924F60933111BB6AD66D315AF768B7DBE54574AE8E17BA2A60701A0E0BBE27FE15367D4DB24ED1C43E83E97E8B8B4948BDE37BFF001FB2C6B282A2928A82B6561F57AE63DD0C98F64B98E2D7373F78601C7811F1C45D96F5CD5B5E69E6192ADA2D45A46AE1170A49E85F302E6472F4900C676F98FAAEB8F2DF14EF543CF8349EA349ADB9DBFBC7EDFF00B66D968AF8EE144CA98C7293B3DB9F74F70AE70E58CB5EA87CFB5FA2BE8B34E2B73ED3EF1EEBA5D5098AD5B63A7D41649ADF361AF3ED4321FF000E41D0F9763F0256B78DE1DF4F9A70DFABFBB9E2A60969AA65A69D8639627963D87AB5C0E08FAAE2BF89DE1E68C8808080808080808080808327A56DBFCDF51D0DB8825934C0498383C837763E3CA0A39E4BF4526DECE8E680D686B40000D801B052223679D99999DE5F11862B574AE8AC73729C1796B0F913BA8DACB4C6295D7A0628C9AEA7578DE7FC34AB751C95B53E859243100D73DF24AFE56318D192E27E03B0DCF6DF654AFA0E4C918EBD52941D57C37B5BF48C2CABA2B94142679ABC4D6D96A3D27A6634170698C86BF9A366C70406FC7076E1417B67CB6BDBB7B73B6DB7FDB09FC4656C37ED414D78B1DE21ADA4A1A66B2685AF76627BDEE1CE038005AEC341E527046E064671675F4E89C51B4C6D32C170E6B0CD2D445D32C0E70F020E3F753F4169EA9AA0FEA7A45B163C9E7798FEFF00FC6E4ACDE30410B719AD828B54B6B638CB62AD883C9D80F48DF65C07CB94F995C6D1B4AEF4593AB16DEDC3485AA6080808080808080808080837AE0A53366D5B2CEF8CBBD5E95EE63B1EEB896B7F42EFCD6D5EE85AFB74E2DBDD332ECA51058EA1A47565A2785832FC07307891BE170D4639BE3988597A4EAA34DABA5EDDBB4FED3C7F869166AF16CAB754B98F7111B800D6F31CF6D8919F2C8546FA36A31CE5C7B4247B16A9B9DD43AE3FCEF4F55873A1939EAE63492B4B252F1149109006B5A5C7C5AE11B72495951DB0C53E5DA63F6FCB51D79AAE9EE56E759C494F53242CE46CD4B13BD18E6732478F48F7974A39DAE3CC40C97B8F4C2CA6E9F4F359EAFE7F1E1470DA81D141515CF18126238FE20753F5C7D158E831CC44DDE7FF0052EA626D5C15F1CCFF00A6DEAC1E58411EF1D29637D8682B0FDA4554626EFD9ED24EDFE40B9DFBAC7D3ADF34D510AE6B6101010101010101010101049BC088C19AEF26065AD85B9EFB97FF00C2DA9F52BBD467E4884A6BB2A44041AFDF74E36AA5754D139B1CAE39731DEEB8F88F02A0E7D1C5E7AA9C4BD37A5FEA09D3D631678DEB1E63BC7E7FF776A95FA52EAF90BD94479C75C3DB877E6A14E9334785FCFACE82D1D5193FC4FE190B268CA9748D7DC9CD8631D63638171F98D82EF8B43699DEFC2B759FA8B152BD3A78DE7DE788FCCB798218E08590C2C0C8D8DC35A3A00ACEB58AC6D0F1F9325B25E6F79DE67BAA596820D438C1089744543C869F432C6F191B8F6B976FF52E793B426E827FE5DBEC839735D08080808083FFD9') where management_id = 1 or 1=1;
