USE project_db_v1;

DELETE FROM management;

INSERT INTO management(management_id, management_dob, management_hiredate, management_salary, management_gender, management_mobile, management_govt_id, management_passport, management_category, management_first_name, management_last_name, management_password, management_username, management_email, management_qualification, extra_col_1, management_address) VALUES
(84, '1984-05-09', '2014-10-19', 118980, 'Female', '+08 (9616) 1492', '82660', 'U4HUIWGd', 'Accountant', 'Yente', 'Decker', 'kdwM3X8T', 'Blackmon1816', 'ybbl0@gmail.com', '\r\nBachelor''s Degree in Office Administration', '6', '48 East Hunting Hill Hwy'),
(85, '1990-08-12', '2021-02-28', 86954, 'Female', '+07 7032 26940', '815217', 's05JajFj', 'Receptionist', 'Wolfmar', 'Stinnett', '859YnA9Y6', 'Chana24', 'CedricDallas@gmail.com', 'Hospitality', NULL, '3047 Rose Hill Dr'),
(86, '1994-06-29', '2016-07-29', 77131, 'Female', '+09-9142-965852', '87174', 'Kk0cBii8', 'Accountant', 'Adelinde ', 'Moody', 'b28VAwEn', 'High7', 'MickeyMaki358@gmail.com', '\r\nBachelor''s Degree in Office Administration', '0GW5P6LP523ZSKV11432P0324LD3MAV6ST01943D6F1F40XD69K61', '807 Brentwood Way'),
(87, '1997-12-14', '2023-02-18', 107789, 'Male', '+09-1807-017590', '76478', 'HQR2Oo7a', 'Accountant', 'Widorna', 'Mcclelland', 'Y99VP5CMM', 'Stone1968', 'Riggins@gmail.com', NULL, 'W0F1CSG1W914829G045OB54IUW4LC3P30R12NE0N66KZUS1Y45KEHD267Z7CSN1N8V9K166VOJHT2E7', '144 New Farmview Pkwy'),
(88, '1996-03-03', '2020-11-18', NULL, NULL, '+09-0367-042295', '1517', '6OOR3h7Z', 'Admin', 'Varina', 'Galarza', '3frx8a7dAKP9', 'Thomasena1852', 'Eastman534@gmail.com', '\r\nBachelor''s Degree in Office Administration', 'OY3E8Q70', NULL),
(89, '1996-04-17', '2015-07-19', 111703, 'Female', '+07 2870 65878', '3261', 'IBZmxEKo', 'Admin', 'Gonzales', 'Christy', '2VtKsSKB', 'Luke1856', 'yiayr909@gmail.com', '\r\nBachelor''s Degree in Economics with a concentration in Accounting', NULL, '69 E Ski Hill Highway'),
(90, '1987-01-17', '2023-12-25', 56134, 'Female', '+07 9874 81726', '8264', 'nK30Qd2U', 'Admin', 'Annalisa', 'Dees', '9KiV11XC', 'Ramey2008', 'Melvin.Gerber@yahoo.com', '\r\nBachelor''s Degree in Healthcare Administration', 'MOC3194CF1TMAR59GWRE9LH00564I', '806 SE Chapel Hill St'),
(91, '1991-03-22', '2018-12-18', 67096, 'Other', '+08 (8413) 9647', '6394', '5k5c2IMf', 'Receptionist', 'Thomia', 'Winfrey', 'cFU78CC1', 'Rima578', 'dcwcbd42@gmail.com', '\r\nBachelor''s Degree in Office Administration', '3L76RU28409T51O4P1948F245XDFZ6CK9031', '2201 Old Highland Loop'),
(92, '1980-01-08', '2024-12-24', 81405, 'Female', '+08 (3842) 1429', '38169', '55lNNbCw', 'Admin', 'Radolf', 'Biddle', 'CH2bsHsgh2wM', 'Cristy1863', 'Villegas@gmail.com', '\r\nBachelor''s Degree in Business Administration with a concentration in Accounting', 'OC8F8733B8IH7540Q0N5FX4I0S47X441', '645 Monument Avenue'),
(93, '1998-10-27', '2023-02-15', 77915, 'Male', '+09-0547-791901', '26289', '00Bk06DR', 'Admin', 'Nussi', 'Quigley', 'K837kBc3C', 'Teddy2', 'Whittaker997@gmail.com', 'Undergraduate\r\nBachelor''s Degree in Business Administration', 'Z6', '53 East Ironwood Avenue'),
(94, '1997-04-30', '2019-02-05', 45436, 'Female', '+08 (7675) 5024', '048315', '4syH4XJn', 'Admin', 'Jolissa', 'Moon', 'GO09A8yI', 'Camacho1935', 'SharylAgee@gmail.com', '\r\nBachelor''s Degree in Public Administration', 'G5', '287 Market St'),
(95, '1990-11-28', '2023-01-07', 67064, 'Female', '+08 (9344) 8837', '237456', '3vV74oV9', 'Receptionist', 'Élayne', 'Quinlan', 'oej4OQGPi13B', 'Chas2034', 'eseoezxt_orbt@gmail.com', '\r\n', 'THBDPZ46SG0U', '84 Riverview Loop'),
(96, '1980-04-01', '2021-05-21', NULL, NULL, '+09-8753-408131', '1110', 'CmE55UBU', 'Admin', 'Warin', 'Chu', 'DYPABWBEIg9', 'Lowe682', 'LuciusI.Rosado@gmail.com', '\r\nBachelor''s Degree in Finance', 'QG093FJGC19OZQW820', NULL),
(97, '1994-02-10', '2024-11-15', 113059, 'Female', '+07 7377 05065', '483871', 'Mn3v6Cep', 'Receptionist', 'Abeline ', 'Galbraith', 'm54E9j4h1j', 'Maximo24', 'ScrogginsV@gmail.com', 'Hospitality', 'L52T42RK1067186821Q37YFP', '74 4th Rd'),
(98, '1980-10-26', '2024-05-11', 116049, 'Other', '+08 (8208) 0840', '79378', 'lu7LxeIx', 'Accountant', 'Balte ', 'Dehart', 'h97170mlood', 'Bentley41', 'Theresa_Bess87@gmail.com', '\r\nBachelor''s Degree in Public Administration', 'SJ024', '13 Pine Tree Ln'),
(99, '1984-10-30', '2022-06-29', NULL, NULL, '+09-7230-009435', '287969', 'yofVro6z', 'Admin', 'Yonina', 'Mooney', 'nYHMQ0K09Xn', 'Jon1892', 'AdolfoHussey81@gmail.com', '\r\nBachelor''s Degree in Economics with a concentration in Accounting', '7D1LZLM29Z0Q', NULL),
(100, '1989-03-07', '2024-01-19', 86178, 'Male', '+08 (1181) 8281', '34209', 'yTG1KpOg', 'Receptionist', 'Abby ', 'Quinn', 'A9y8e04Ks28C2gU', 'Maragret1861', 'Cameron@gmail.com', '\r\nBachelor''s Degree in Public Administration', '5194993JT5R', '1132 NW Prospect Hill Drive');

select * from management;
